satz,arm,nfe,K,ziel,regel,mean,count,prozent
PB308,SigmaDock,25,35,valid,gnina,0.63434006514658,307,63.434006514658
PB308,SigmaDock,25,36,valid,gnina,0.6345889250814332,307,63.458892508143315
PB308,SigmaDock,25,37,valid,gnina,0.6347394136807817,307,63.473941368078165
PB308,SigmaDock,25,38,valid,gnina,0.6348983713355049,307,63.48983713355049
PB308,SigmaDock,25,39,valid,gnina,0.6350547231270358,307,63.50547231270358
PB308,SigmaDock,25,40,valid,gnina,0.6351791530944625,307,63.51791530944625
PB308,SigmaDock,25,1,both,gnina,0.2409827361563517,307,24.098273615635172
PB308,SigmaDock,25,2,both,gnina,0.3202394136807818,307,32.02394136807818
PB308,SigmaDock,25,3,both,gnina,0.3634892508143322,307,36.34892508143322
PB308,SigmaDock,25,4,both,gnina,0.3915459283387623,307,39.15459283387623
PB308,SigmaDock,25,5,both,gnina,0.41136026058631914,307,41.13602605863191
PB308,SigmaDock,25,6,both,gnina,0.4259798045602608,307,42.59798045602608
PB308,SigmaDock,25,7,both,gnina,0.437417915309446,307,43.7417915309446
PB308,SigmaDock,25,8,both,gnina,0.44643713355048836,307,44.64371335504884
PB308,SigmaDock,25,9,both,gnina,0.45358208469055383,307,45.358208469055384
PB308,SigmaDock,25,10,both,gnina,0.45944885993485335,307,45.944885993485336
PB308,SigmaDock,25,11,both,gnina,0.464345276872964,307,46.4345276872964
PB308,SigmaDock,25,12,both,gnina,0.46855830618892486,307,46.85583061889248
PB308,SigmaDock,25,13,both,gnina,0.47208925081433234,307,47.208925081433236
PB308,SigmaDock,25,14,both,gnina,0.47520944625407135,307,47.52094462540713
PB308,SigmaDock,25,15,both,gnina,0.47795895765472307,307,47.79589576547231
PB308,SigmaDock,25,16,both,gnina,0.48022475570032563,307,48.02247557003256
PB308,SigmaDock,25,17,both,gnina,0.48231921824104235,307,48.231921824104234
PB308,SigmaDock,25,18,both,gnina,0.48418664495113983,307,48.41866449511399
PB308,SigmaDock,25,19,both,gnina,0.4857941368078173,307,48.57941368078173
PB308,SigmaDock,25,20,both,gnina,0.4872478827361562,307,48.72478827361562
PB308,SigmaDock,25,21,both,gnina,0.4884677524429969,307,48.84677524429969
PB308,SigmaDock,25,22,both,gnina,0.4895188925081434,307,48.95188925081434
PB308,SigmaDock,25,23,both,gnina,0.49039804560260586,307,49.039804560260585
PB308,SigmaDock,25,24,both,gnina,0.4911866449511404,307,49.11866449511404
PB308,SigmaDock,25,25,both,gnina,0.49198957654723113,307,49.19895765472312
PB308,SigmaDock,25,26,both,gnina,0.4926254071661239,307,49.26254071661239
PB308,SigmaDock,25,27,both,gnina,0.49312312703583056,307,49.31231270358305
PB308,SigmaDock,25,28,both,gnina,0.49368436482084666,307,49.36843648208467
PB308,SigmaDock,25,29,both,gnina,0.4939850162866449,307,49.39850162866449
PB308,SigmaDock,25,30,both,gnina,0.4943416938110746,307,49.43416938110746
PB308,SigmaDock,25,31,both,gnina,0.49463876221498393,307,49.463876221498396
PB308,SigmaDock,25,32,both,gnina,0.49485276872964173,307,49.48527687296417
PB308,SigmaDock,25,33,both,gnina,0.4949726384364819,307,49.49726384364819
